,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admission Points
0,0.8433734939759034,0.8627450980392157,0.75,0.7991967871485942,0.554,0.7277486910994766,1.0,0.48528846153846156
1,0.5301204819277108,0.4509803921568627,0.0,0.36746987951807225,0.30000000000000004,0.42146596858638774,0.0,0.10653846153846153
2,0.48192771084337327,0.6078431372549018,0.0,0.4799196787148594,0.31800000000000006,0.46858638743455505,0.0,0.1290384615384616
3,0.5542168674698793,0.5686274509803921,0.5,0.6987951807228914,0.6000000000000001,0.6282722513089005,0.0,0.2692307692307692
4,0.7590361445783129,0.49019607843137236,0.25,0.2730923694779116,0.7000000000000001,0.7015706806282724,1.0,0.37500000000000006
5,0.7710843373493974,0.2941176470588234,0.75,0.8253012048192769,0.8,0.6753926701570683,1.0,0.3365384615384616
6,0.5903614457831323,0.8039215686274508,0.5,0.5983935742971886,0.7000000000000001,0.4973821989528797,0.0,0.3461538461538462
7,0.5060240963855422,0.8431372549019609,0.0,0.19076305220883533,0.4,0.18848167539267036,1.0,0.05798076923076928
8,0.6506024096385543,0.09803921568627438,0.75,0.2971887550200803,0.10600000000000001,0.5916230366492148,0.0,0.2211538461538462
9,0.49397590361445776,0.5686274509803921,0.25,0.44377510040160634,0.746,0.3481675392670158,0.0,0.14500000000000002
10,0.903614457831325,0.9803921568627452,0.75,0.9999999999999998,0.9,0.8219895287958117,1.0,0.5384615384615385
11,0.22891566265060215,0.7647058823529411,0.5,0.9297188755020079,0.6000000000000001,0.6544502617801047,0.0,0.10576923076923078
12,0.09638554216867457,0.784313725490196,0.0,0.9196787148594375,0.36400000000000005,0.45549738219895297,0.0,0.12509615384615386
13,0.8554216867469879,0.8039215686274508,0.25,0.7891566265060239,0.6000000000000001,0.798429319371728,1.0,0.8846153846153848
14,0.5301204819277108,0.5686274509803921,0.25,0.5140562248995982,0.528,0.4371727748691099,0.0,0.009615384615384637
15,0.7590361445783129,0.8039215686274508,0.25,0.7991967871485942,0.36000000000000004,0.6439790575916231,0.0,0.36538461538461536
16,0.3493975903614457,0.7254901960784315,0.25,0.49799196787148586,0.4,0.6099476439790579,0.0,0.2692307692307692
